PSO,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23
avg,0.642351028,5.09E-01,3059.395655,9.007016898,2163.720605,4.02,0.059506545,-8779.314842,51.6907371,1.04601913,0.597054228,0.400066426,1.851649002,0.998003838,0.003757496,-1.031628453,0.397887358,3,-3.862782148,-3.260277202,-6.344511124,-8.296694505,-7.568811754
time,0.491303272,0.563594947,3.064910316,0.492344704,0.60917388,0.600255737,0.667757149,0.561378036,0.583962712,0.742813587,0.757733707,1.31721911,1.099880362,0.811989117,0.759172359,0.602810378,0.540098662,0.840510888,1.168438044,1.192173204,0.937793255,1.057256513,1.248382397
worst,2.490425734,20.10086272,11506.52074,11.30669789,90049.80268,13,0.124123797,-7424.311786,94.76371156,2.613843428,1.003411359,2.776577898,13.59113257,0.998003838,0.020363339,-1.031628453,0.397887358,3,-3.862782148,-3.137641726,-2.630471668,-2.751933564,-1.67655325
best,0.075027415,0.031936552,610.321918,5.974183018,75.73799453,0,0.011577582,-10151.21069,23.31522986,0.104783028,0.14610182,0.001599062,0.05685385,0.998003838,0.000307489,-1.031628453,0.397887358,3,-3.862782148,-3.321995172,-10.15319968,-10.40294057,-10.53640982
std,0.504319553,2.799469605,2445.92654,1.276828131,12567.85651,2.838943465,0.022087431,589.7344288,14.74499633,0.665189067,0.222999855,0.493900645,2.25400837,1.11E-16,0.007251699,2.86E-16,3.33E-16,1.78E-15,2.97E-15,0.075504601,3.474153583,3.266828852,3.816059036
