PSO,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23
39,5920.409074,37.52297837,19439.96987,33.61089384,2573138.501,5605.18,1.550048038,-3772.717398,252.5751144,13.41836346,52.60148401,317512.4518,4046149.648,1.775261021,0.005045476,-1.028862905,0.399204393,3.030114421,-3.861159889,-3.237484278,-4.966119292,-5.971432156,-5.763947328
40,5799.578624,37.11435262,19434.20032,33.59709207,2497433.204,5550.4,1.512671099,-3795.439734,252.2798839,13.39609734,52.15713219,310377.2892,4046149.648,1.761618204,0.005020483,-1.028862905,0.398885134,3.029298612,-3.86120339,-3.237530417,-5.041106036,-5.985331303,-5.83595788
41,5665.690567,36.64843799,19247.50338,33.51881209,2456462.274,5482.9,1.506874762,-3805.94384,252.2798839,13.34793596,51.74734014,301448.1889,3920772.389,1.720688517,0.004998792,-1.028940648,0.398839247,3.029298612,-3.861244084,-3.237812226,-5.053895505,-6.103061735,-5.904649457
42,5648.306264,36.39869174,19227.11258,33.32743653,2236630.513,5459.7,1.496917741,-3835.688137,252.1141921,13.32017141,51.31817053,281847.1555,3758395.201,1.677481686,0.004964142,-1.029003626,0.39878836,3.028607961,-3.861306791,-3.23826875,-5.086782233,-6.120283998,-5.904649457
43,5618.960994,36.30609917,19185.15463,33.0865205,2214328.123,5441.9,1.48796987,-3844.093079,251.232919,13.27363363,50.85667643,259247.5151,3621112.932,1.636087188,0.00493099,-1.029126069,0.39874726,3.026120187,-3.861379129,-3.238517444,-5.086782233,-6.126361824,-5.939443731
44,5553.719849,36.12107635,19045.64821,32.94532527,2177304.476,5285.58,1.468171429,-3860.901533,251.2169335,13.23246618,50.45301153,250827.881,3519823.499,1.625627032,0.004902963,-1.029321364,0.398722737,3.021648246,-3.861426276,-3.238601927,-5.142200138,-6.15126414,-5.948079286
45,5516.604383,35.95495946,18977.95705,32.87771788,2118225.207,5223.86,1.447592814,-3882.550843,251.0758113,13.195089,50.08058044,248278.6014,3467066.697,1.600016584,0.004877658,-1.029352709,0.398607783,3.020434582,-3.861454633,-3.238876725,-5.142434495,-6.161347855,-6.009338249
46,5409.387469,35.7556436,18967.56847,32.85410293,2111749.368,5173.52,1.422345063,-3914.021616,250.3466007,13.14617427,49.10596247,234508.8504,3356204.856,1.588594216,0.004832761,-1.029611378,0.398591219,3.019124354,-3.861483686,-3.239729553,-5.153954786,-6.165979041,-6.149993591
47,5364.508826,35.49858604,18805.90888,32.77381976,2055104.405,5147.8,1.403427184,-3921.767683,250.3466007,13.11198933,48.14400188,227299.9809,3183896.168,1.546501761,0.004788689,-1.029707558,0.398581263,3.017083415,-3.861567277,-3.240313214,-5.164311018,-6.218393146,-6.155643185
48,5314.644206,35.16121195,18594.24684,32.68789752,1967800.666,5101.58,1.39689033,-3938.469457,250.2375886,13.08596949,48.02041999,216527.9785,3093812.887,1.487094115,0.004783154,-1.02988934,0.398536898,3.016294552,-3.861592378,-3.240356109,-5.197858957,-6.218841448,-6.159434551
49,5266.678079,34.88084015,18524.49914,32.56307883,1963270.263,5018.2,1.382565134,-3948.432167,249.3507658,13.05421684,47.84185437,213899.311,2908813.897,1.473421778,0.004765067,-1.029918237,0.398524865,3.016075866,-3.861644656,-3.240872018,-5.257175536,-6.278848809,-6.203761911
50,5245.074086,34.55851702,18449.52689,32.54499982,1887869.838,4908.92,1.371600838,-3954.554654,248.6360742,12.99921923,47.3136288,198493.8442,2718917.382,1.449464194,0.004744382,-1.030014029,0.398506752,3.0158261,-3.86168251,-3.2415965,-5.282033569,-6.291097429,-6.218896208
51,5232.515235,34.40482949,18371.21187,32.46553706,1803465.027,4838.58,1.340341527,-3962.000838,247.975594,12.95128324,47.0065957,180915.5695,2671083.185,1.447837037,0.004726191,-1.030094331,0.398492817,3.01558122,-3.861743782,-3.241765588,-5.304910639,-6.324493115,-6.255515397
52,5184.723409,34.30679054,18149.99669,32.46553706,1797511.964,4806.34,1.331777596,-3978.758268,247.2953945,12.91553315,46.61098124,170778.007,2578200.293,1.446585626,0.004646613,-1.030094331,0.398487773,3.015242929,-3.861781704,-3.241808313,-5.36223623,-6.360593338,-6.260115932
53,5184.445636,34.3032282,18142.88647,32.35083826,1782087.957,4728.34,1.315173888,-3990.308149,245.958395,12.88305586,46.23237912,166600.0381,2454783.441,1.426830872,0.004646613,-1.03012316,0.398462987,3.015092486,-3.861853724,-3.242424591,-5.373300014,-6.364176804,-6.292375494
54,5125.280777,33.89812057,18142.88647,32.32599358,1751734.248,4703.6,1.305975114,-4001.084338,245.6072704,12.84589224,45.9568192,158933.1247,2420963.093,1.416539804,0.004642809,-1.030196309,0.398435442,3.013117914,-3.861865813,-3.242530403,-5.393901966,-6.371262121,-6.295626963
55,5032.345057,33.80482024,18032.46326,32.22194551,1711674.042,4640.52,1.296257889,-4020.957367,245.5336995,12.80020569,45.57797597,154828.0161,2407250.656,1.416539804,0.00463876,-1.030210364,0.398417137,3.013052495,-3.861892533,-3.243527629,-5.394308536,-6.372806723,-6.303811512
56,4936.988102,33.69281898,17885.63145,32.05553544,1668584.546,4599.5,1.293363193,-4039.580773,245.1632534,12.77646424,45.26512233,144600.3942,2328739.147,1.403399516,0.004615227,-1.030210364,0.398417137,3.012926477,-3.861949909,-3.24402482,-5.408635817,-6.389726679,-6.311676205
57,4894.093311,33.6201259,17789.39408,31.98688609,1632384.611,4550.82,1.277085624,-4047.17426,245.1632534,12.72624128,45.02032967,141480.7619,2193765.719,1.334566584,0.004596737,-1.030215977,0.398417137,3.012727581,-3.861984002,-3.244662605,-5.411572088,-6.404455768,-6.313641309
58,4847.924046,33.32699134,17709.01451,31.8092679,1615458.98,4531.96,1.238666628,-4073.056978,245.1124857,12.68681537,43.9829837,135335.3151,2152511.937,1.273107729,0.004589528,-1.030248557,0.398405572,3.011083744,-3.862052154,-3.244940696,-5.425277216,-6.451466167,-6.314836526
59,4825.933777,33.25660346,17708.71297,31.60980125,1587374.405,4514.24,1.235326794,-4096.439898,245.1124857,12.64087719,43.87801972,131006.8969,2133603.819,1.273033403,0.004589528,-1.030253625,0.398354006,3.01014967,-3.86207482,-3.245526906,-5.430916335,-6.547599192,-6.341011983
60,4807.871908,32.79561588,17671.08893,31.54767676,1560170.741,4484.04,1.22027092,-4107.233368,245.1124857,12.64087719,43.4749528,127907.5114,2070168.948,1.273033403,0.004588088,-1.030292625,0.398343706,3.00943768,-3.862094701,-3.245920067,-5.458622597,-6.597880698,-6.359203132
61,4737.420763,32.74696161,17423.04898,31.50036203,1535785.18,4476.2,1.180309116,-4121.10557,244.9102957,12.61266685,43.42460554,119188.6656,2070168.948,1.272377902,0.004587695,-1.030307548,0.398301773,3.008721971,-3.86209772,-3.246686308,-5.521979076,-6.597880698,-6.402698469
62,4672.627295,32.4827673,17366.40016,31.45422846,1535662.732,4455.4,1.174444192,-4135.137468,244.6528744,12.5954901,43.37814184,100461.4722,2038342.629,1.25250008,0.004575354,-1.030325368,0.398267268,3.008320036,-3.862106833,-3.246808143,-5.541032724,-6.637088231,-6.419183113
63,4595.720631,32.30084248,17319.46139,31.36960141,1492361.076,4416.48,1.156361739,-4147.729485,243.9137694,12.53576141,42.99200119,97428.34507,2016905.8,1.252491291,0.004502387,-1.030376396,0.398244085,3.007370747,-3.86211174,-3.247249233,-5.549191363,-6.688242875,-6.433836998
64,4547.830104,32.23488691,17137.51136,31.2353404,1455396.922,4345.62,1.131860668,-4159.646736,243.8925856,12.51234563,42.23877592,94249.0131,1988462.574,1.239232528,0.004502387,-1.030410007,0.39823991,3.007146389,-3.86212781,-3.247471697,-5.549191363,-6.706835351,-6.435527781
65,4485.280431,32.05245971,17111.3915,31.12674429,1436390.534,4301.48,1.10732765,-4184.581788,243.8066198,12.50220168,41.79124551,94106.67111,1910262.117,1.23317262,0.004497236,-1.030410007,0.39820073,3.006734106,-3.862161564,-3.247487699,-5.580568101,-6.734039335,-6.455903762
66,4452.720549,31.83621549,17062.35474,31.06069318,1384940.679,4258.78,1.092355424,-4196.709914,242.8183292,12.41692046,41.75093753,90489.05062,1820839.85,1.23106478,0.004495221,-1.030449279,0.398149227,3.006555683,-3.862185505,-3.247730093,-5.589974968,-6.773275156,-6.460779177
67,4401.054572,31.74441656,17044.14391,31.03088544,1372040.215,4231.46,1.081449547,-4212.281853,242.696981,12.39429849,41.46109051,89242.41336,1803862.921,1.228575788,0.004492179,-1.030450424,0.398131755,3.006192873,-3.862217146,-3.248084456,-5.655870154,-6.803092604,-6.47811396
68,4365.44193,31.34991051,17044.14391,31.01408487,1369862.891,4225.92,1.072758344,-4220.552053,242.2349781,12.37454034,40.93375879,88422.79135,1712945.034,1.20239787,0.004483644,-1.030579045,0.39810681,3.006117582,-3.862246856,-3.248350273,-5.659717935,-6.885489732,-6.517617462
69,4326.730103,30.98417238,17012.63937,31.01408487,1337746.679,4202.66,1.065120244,-4244.506653,242.028034,12.37059666,40.24142343,86183.97296,1663514.483,1.184909992,0.004431614,-1.030602268,0.398094493,3.005155183,-3.862253232,-3.248508333,-5.66072163,-6.891632236,-6.518488902
70,4293.548553,30.77947258,16958.9836,30.93494778,1318640.265,4162.06,1.057005105,-4289.473208,241.7726648,12.33157859,39.98933903,83857.84891,1636869.831,1.181682783,0.004418661,-1.030727838,0.39808054,3.005057231,-3.86226028,-3.248654208,-5.673235267,-6.891661641,-6.535083925
71,4268.489735,30.57629388,16833.84042,30.83623966,1290173.021,4093.62,1.023021721,-4311.271242,241.7726648,12.32542953,39.74511818,78736.50177,1587724.251,1.171273515,0.004408814,-1.03075866,0.398070981,3.004486316,-3.862278341,-3.248654208,-5.67394143,-6.89355924,-6.587802931
72,4222.382335,30.47048085,16718.94033,30.79054502,1276919.084,4076.88,0.994955934,-4316.017184,241.5360106,12.28289231,39.1084295,78504.84416,1501405.205,1.164669161,0.004389136,-1.030769016,0.398054344,3.003982689,-3.862288548,-3.248721253,-5.680404715,-6.931097161,-6.669671883
73,4183.051282,30.30479958,16681.13181,30.67417954,1264507.039,4076.88,0.99030968,-4331.0992,241.282967,12.24802221,39.05105091,77297.00963,1479390.513,1.160385196,0.004386943,-1.030805932,0.39805091,3.00390871,-3.86231971,-3.248863611,-5.684900852,-6.931097161,-6.689486508
74,4167.018963,30.18613992,16626.19397,30.61662454,1232424.743,4013.54,0.986409706,-4343.991888,241.0672896,12.21105619,38.70548854,77109.28107,1449612.967,1.147239114,0.004384976,-1.030865503,0.398047367,3.003856393,-3.862323459,-3.249188596,-5.692501126,-6.973422189,-6.702600755
75,4154.514068,30.08373868,16536.16662,30.46512576,1230121.167,3998.64,0.977719366,-4397.355888,241.0672896,12.20033114,38.50993986,74902.29778,1431569.107,1.137419808,0.004378621,-1.030882208,0.398032615,3.00384306,-3.86233434,-3.249230973,-5.698630234,-6.982241103,-6.712348444
76,4100.825724,30.02102568,16323.9435,30.3783683,1206678.606,3949.12,0.973122771,-4401.047532,240.7036142,12.19980779,38.03143824,73591.33507,1357451.399,1.137419808,0.004372044,-1.030905369,0.398011916,3.003756009,-3.862342577,-3.249289577,-5.706422483,-7.022757378,-6.731053056
77,3984.734235,29.76687311,16147.37324,30.27962835,1190817.74,3896.4,0.972097204,-4401.047532,240.7036142,12.18130274,37.94966562,68661.38506,1343612.586,1.137351094,0.004372026,-1.030955319,0.398011194,3.003192921,-3.862360006,-3.249553852,-5.70675832,-7.023037649,-6.769678809
78,3966.375591,29.58320628,16000.66043,30.19227377,1167315.481,3842.74,0.968817397,-4406.736854,240.3584372,12.11379677,37.62771952,60196.60011,1333285.255,1.136755278,0.004362664,-1.030961939,0.39800444,3.0030815,-3.862368452,-3.249639851,-5.71385633,-7.042643535,-6.77143012
79,3965.7732,29.55787192,15995.04654,30.09731893,1146409.601,3842.68,0.968293064,-4415.392076,240.3584372,12.06392119,37.53435892,56591.79784,1309602.028,1.118596289,0.004362664,-1.031017831,0.397999599,3.002935289,-3.862371117,-3.249679565,-5.74945758,-7.060320978,-6.781155093
80,3925.658428,29.50538774,15947.5556,30.06746597,1139883.796,3797.16,0.967663582,-4440.899184,240.2850503,12.03088735,37.42616427,56254.69842,1289709.972,1.118572776,0.004360542,-1.031072166,0.397985065,3.002640831,-3.862394057,-3.249821788,-5.767349938,-7.061778939,-6.799309148
81,3903.608193,29.39579202,15947.5556,30.05796467,1134761.789,3768.5,0.957209634,-4451.361089,240.2785521,12.02108675,37.03008955,54062.74274,1278181.443,1.118518814,0.00435335,-1.031089623,0.397982188,3.002464436,-3.862406591,-3.250335698,-5.790578634,-7.082224073,-6.811746993
82,3820.318036,29.17908136,15938.29042,29.98905103,1125531.322,3762.9,0.957209634,-4464.707952,239.6411513,12.01669762,36.69243623,52757.19177,1267543.463,1.098721457,0.004327045,-1.031121188,0.397973266,3.002386845,-3.862410316,-3.25070997,-5.813154486,-7.096371817,-6.8235882
83,3808.427352,29.08013847,15883.76144,29.97728184,1104907.556,3701.02,0.955872409,-4471.009428,239.6244279,12.01355827,36.51832299,47337.4165,1223191.021,1.082447448,0.004324651,-1.031128305,0.397968208,3.002306294,-3.862428491,-3.25083346,-5.820884106,-7.162988586,-6.861994277
84,3775.133973,28.83466174,15872.90632,29.83100077,1098508.041,3674.42,0.94900899,-4498.358161,239.3330964,11.98309058,36.14359619,45636.08052,1190913.603,1.082310418,0.004323501,-1.03116681,0.397960846,3.002084287,-3.862430036,-3.251087669,-5.824535299,-7.171559521,-6.873742312
85,3729.756014,28.69677545,15842.6397,29.74067764,1062645.585,3662.12,0.946314356,-4499.576222,239.021771,11.97385012,35.96700204,44205.0521,1127157.805,1.082095844,0.004323498,-1.031177922,0.39795695,3.001966456,-3.862431864,-3.251353639,-5.825038805,-7.184553738,-6.890282221
86,3700.543328,28.54884842,15723.18518,29.55280491,1054125.321,3636.24,0.945373611,-4517.834223,238.879505,11.96377208,35.56825202,41725.9987,1125288.045,1.082095843,0.004313126,-1.031199315,0.397956082,3.001652345,-3.862439657,-3.25165258,-5.827621323,-7.209019685,-6.89418337
87,3642.442093,28.40272837,15514.76235,29.47890517,1034580.781,3583.82,0.928772201,-4536.637646,237.9953463,11.94812002,35.51142231,41103.17873,1090441.929,1.081885856,0.00429921,-1.031205837,0.397954023,3.001587477,-3.862456674,-3.251779421,-5.844085277,-7.218923426,-6.906371647
88,3632.951707,28.25478553,15401.07572,29.30910529,1027787.397,3548.3,0.928772201,-4550.084248,237.9953463,11.9299314,34.97045106,36572.76473,1066412.951,1.081874428,0.00429774,-1.031235986,0.397953463,3.001557563,-3.862458339,-3.251862694,-5.848659094,-7.272557752,-6.927391659
89,3584.792415,28.15383387,15350.99882,29.30511111,1007454.298,3541.02,0.928772201,-4577.067811,237.9953463,11.91181872,34.33438223,32419.9177,991895.2364,1.062633113,0.004286551,-1.03125177,0.397951144,3.001514688,-3.862465161,-3.252065744,-5.852911096,-7.275720458,-6.944833818
90,3556.716144,28.11078826,15350.99882,29.24387651,995510.9886,3515.08,0.923286295,-4588.422397,237.9953463,11.88043947,33.99198251,31974.62144,978502.173,1.062327864,0.00428112,-1.031254788,0.39794485,3.001429907,-3.862474362,-3.252320264,-5.86050604,-7.280524758,-6.995462642
91,3537.466768,27.75902599,15337.29475,29.20111052,974015.6211,3515.08,0.909741211,-4600.096237,237.9116807,11.88038145,33.93532249,30828.95041,953864.6891,1.062056409,0.004279521,-1.031270869,0.397943699,3.001422607,-3.862488088,-3.25235094,-5.888956853,-7.305585866,-7.028526287
92,3523.232422,27.68954438,15262.43792,29.16326189,964871.9557,3509.1,0.900191332,-4620.394667,237.2265242,11.83581037,33.82943698,30828.95041,915503.5065,1.062055837,0.004215905,-1.031272932,0.397937463,3.001351363,-3.862503987,-3.252404207,-5.90000836,-7.339294651,-7.050851041
93,3515.895448,27.52805368,15189.6739,28.9879571,942693.8228,3486.28,0.895223004,-4620.890138,236.9709541,11.79143636,33.57142573,30711.79457,915503.5065,1.061943564,0.0041118,-1.031276825,0.397936026,3.001275468,-3.86250529,-3.252410414,-5.906689147,-7.357831369,-7.053708823
